# message-length,lambda,agents-per-reproduction,mutation-rate,initial-population,[0 1],[1 0],
1,0.01,2,10,200,0,209,
1,0.01,2,10,200,0,203,
1,0.01,2,10,200,0,212,
1,0.01,2,10,200,0,186,
1,0.01,2,10,200,0,194,
1,0.01,2,10,200,0,212,
1,0.01,2,10,200,0,198,
1,0.01,2,10,200,0,196,
1,0.01,2,10,200,0,178,
1,0.01,2,50,200,0,221,
1,0.01,2,50,200,0,202,
1,0.01,2,10,200,0,218,
1,0.01,2,50,200,0,209,
1,0.01,2,50,200,0,183,
1,0.01,2,50,200,0,201,
1,0.01,2,50,200,0,192,
1,0.01,2,50,200,0,193,
1,0.01,2,50,200,0,198,
1,0.01,2,50,200,0,188,
1,0.01,2,50,200,0,210,
1,0.01,2,80,200,0,201,
1,0.01,2,80,200,0,175,
1,0.01,2,80,200,0,206,
1,0.01,2,80,200,0,192,
1,0.01,2,80,200,0,192,
1,0.01,2,80,200,0,176,
1,0.01,2,80,200,0,200,
1,0.01,2,80,200,0,209,
1,0.01,2,80,200,0,202,
1,0.01,2,80,200,0,213,
1,0.01,5,10,200,0,482,
1,0.01,5,10,200,0,469,
1,0.01,5,10,200,0,479,
1,0.01,5,10,200,0,497,
1,0.01,5,10,200,0,496,
1,0.01,5,10,200,0,493,
1,0.01,5,10,200,0,489,
1,0.01,5,10,200,0,526,
1,0.01,5,10,200,0,463,
1,0.01,5,10,200,0,504,
1,0.01,5,50,200,0,504,
1,0.01,5,50,200,0,504,
1,0.01,5,50,200,0,500,
1,0.01,5,50,200,0,521,
1,0.01,5,50,200,0,518,
1,0.01,5,50,200,0,500,
1,0.01,5,50,200,0,496,
1,0.01,5,50,200,0,515,
1,0.01,5,50,200,0,482,
1,0.01,5,50,200,0,494,
1,0.01,5,80,200,0,481,
1,0.01,5,80,200,0,488,
1,0.01,5,80,200,0,515,
1,0.01,5,80,200,0,480,
1,0.01,5,80,200,0,514,
1,0.01,5,80,200,0,495,
1,0.01,5,80,200,0,510,
1,0.01,5,80,200,0,500,
1,0.01,5,80,200,0,457,
1,0.01,5,80,200,0,495,
1,0.01,10,10,200,0,958,
1,0.01,10,10,200,0,1000,
1,0.01,10,10,200,0,958,
1,0.01,10,10,200,0,1012,
1,0.01,10,10,200,0,937,
1,0.01,10,10,200,0,995,
1,0.01,10,10,200,0,1003,
1,0.01,10,10,200,0,973,
1,0.01,10,10,200,0,1016,
1,0.01,10,10,200,0,999,
1,0.01,10,50,200,0,1014,
1,0.01,10,50,200,0,1004,
1,0.01,10,50,200,0,982,
1,0.01,10,50,200,0,986,
1,0.01,10,50,200,0,1007,
1,0.01,10,50,200,0,980,
1,0.01,10,50,200,0,988,
1,0.01,10,50,200,0,1029,
1,0.01,10,50,200,0,1002,
1,0.01,10,50,200,0,1045,
1,0.01,10,80,200,0,975,
1,0.01,10,80,200,0,988,
1,0.01,10,80,200,0,1000,
1,0.01,10,80,200,0,975,
1,0.01,10,80,200,0,993,
1,0.01,10,80,200,0,962,
